id,name,email,age,score,active,category,timestamp
0,Rachel Rodriguez,amieherman@knight.com,66,13.56,false,Sports,396394042
1,Kenton Carpenter,alethashields@griffin.biz,59,34.55,false,Beauty,526006407
2,Douglas Wiggins,bentonharris@riley.name,37,15.46,true,Toys,-110584431
3,Gayle Brown,brantallen@williams.name,62,28.86,true,Health,-822929238
4,Lina Considine,chazramos@purdy.org,76,82.42,false,Home,-259821585
5,Courtney Tillman,patrickabshire@connelly.com,51,75.79,false,Beauty,1443344413
6,Roberta Cole,carminekennedy@deckow.biz,46,86.35,true,Garden,-2188110699
7,Alda Allen,lupesimpson@bailey.name,46,3.75,false,Electronics,511590468
8,Sean Collins,marvinmiles@gilbert.net,20,65.04,true,Electronics,-184791006
9,Brook Raynor,neilklein@santos.biz,80,76.31,false,Sports,-856249391
10,Haylie Moreno,christopherpalmer@myers.org,33,68.63,false,Toys,-1004722142
11,Raquel King,clauddietrich@campbell.io,44,64.61,false,Books,-1743976680
12,Jennie Harris,brockgleichner@tate.org,29,1.15,true,Health,-1034919975
13,Mary Murray,alfordhenry@solomon.info,73,25.20,true,Garden,877480051
14,Darrick Bates,dawsonrogers@patterson.io,69,95.47,false,Clothing,-1280499579
15,Mac Bayer,monicadietrich@watts.org,35,62.01,false,Beauty,658556552
16,Fae Sutton,aldenmann@blake.org,56,46.48,true,Toys,-1933201112
17,Brennon Kelly,cynthiajackson@klein.org,45,22.14,false,Toys,1661754088
18,Horace Davis,alvertabell@hughes.biz,44,84.88,false,Toys,-1853315128
19,Kenton Wade,aliyahingram@malone.net,47,30.84,false,Electronics,-1755278756
20,Bobbie Sutton,deangelocoleman@waters.biz,23,64.31,false,Books,-684702132
21,Marion Thomas,jaywhitney@lopez.net,44,26.36,true,Food,-1266720197
22,Caterina Parker,joshuabyrd@ritchie.com,51,81.13,true,Sports,-1013907675
23,Boyd Washington,loriconnelly@townsend.info,30,84.06,false,Toys,870975774
24,Edmund Perez,sammyholland@bayer.name,59,11.35,false,Home,1134537780
25,Clare Walton,amyross@lambert.net,53,48.13,false,Health,486340491
26,Brady Hunter,kendallbates@clark.info,49,80.01,true,Health,-1987868860
27,Jamal Feeney,dwightmiller@grimes.name,36,95.80,false,Toys,1037203586
28,Rae Sims,geoffreyhanson@bogan.io,27,86.82,true,Sports,568782211
29,Cortez Gleichner,cecillind@hubbard.com,31,16.96,false,Sports,-1825040586
30,Roderick Dean,caitlynvasquez@willis.biz,58,60.79,true,Health,-791582274
31,Kenneth Herzog,gloriawalters@murray.biz,64,92.19,true,Toys,-303962255
32,London Porter,guidomendoza@reed.org,36,76.68,false,Garden,-2077498897
33,Julius Barker,jasminharris@robertson.biz,78,70.97,false,Toys,-1442376097
34,Willa Lindgren,natmueller@mckenzie.biz,23,74.93,true,Food,786762341
35,Betty Byrd,cruzfrazier@clayton.com,72,63.33,false,Electronics,-1755131080
36,Eloise Garza,martinsingh@haley.info,77,28.64,true,Garden,-2182795111
37,Addie McLaughlin,alvismckenzie@thompson.info,72,0.31,false,Toys,1519605827
